2021-03-10T12:55:44.159Z [AUDIT] Token created by 'anonymous': tokenId='87b53055-6edf-4ad3-ac84-b374f4ebeb7d', issuer='jfrou@01f0e39xkd589tqtnpgeb0ntwr', subject='jfrou@01f0e39xkd589tqtnpgeb0ntwr', expiry=none, refreshable=false
2021-03-10T12:55:46.072Z [AUDIT] Token created by 'anonymous': tokenId='e833b2f3-2547-4b88-8db7-8b7add0930bf', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615381066046, refreshable=false
2021-03-10T12:55:46.258Z [AUDIT] Token created by 'anonymous': tokenId='4663c03d-ccff-490e-b681-d512c0638166', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615381066219, refreshable=false
2021-03-10T12:55:46.494Z [AUDIT] Token created by 'anonymous': tokenId='5dc39c83-8dc5-4063-8041-54e868cc0765', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615381066490, refreshable=false
2021-03-10T12:55:46.907Z [AUDIT] Token created by 'anonymous': tokenId='910a17b2-96e1-4b13-9646-cae6788b0999', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615381066905, refreshable=false
2021-03-10T12:55:47.399Z [AUDIT] Token created by 'anonymous': tokenId='80383f9d-8bed-439f-bdd0-5dbf2f65161b', issuer='jfmd@01f0e39z5afy5nkms4x04pbts0', subject='jfmd@01f0e39z5afy5nkms4x04pbts0', expiry=none, refreshable=false
2021-03-10T12:55:47.724Z [AUDIT] Token created by 'anonymous': tokenId='2f2767d9-412f-48f3-864d-9289a64dd154', issuer='jfac@01f0e39mk21h7w0g31fga71b1k', subject='jfac@01f0e39mk21h7w0g31fga71b1k', expiry=1615381067720, refreshable=false
2021-03-10T12:55:52.493Z [AUDIT] Token created by 'anonymous': tokenId='7ca4c7cf-9090-4978-81dc-eb2d5e3799bf', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=none, refreshable=false
2021-03-10T12:55:55.939Z [AUDIT] Token created by 'jfrt@01f0e3acmpap8e1w103fzs1qqq': tokenId='5bae259f-97f0-419c-bc89-4f9cb3ddc0e4', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=2561460955936, refreshable=false
2021-03-10T12:56:02.658Z [AUDIT] Token created by 'anonymous': tokenId='6c3b4c25-7b16-40c0-817b-184edd2cfe1e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-03-10T12:56:02.894Z [AUDIT] Token created by 'jffe@000': tokenId='e1f00faf-987f-417c-816d-e77093352b08', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615381562894, refreshable=false
